학교ID,학교명,학교급구분,설립일자_x,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드_x,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명,시도교육청코드_y,행정표준코드,영문학교명,학교종류명,시도명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반전문구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자_y,개교기념일,수정일자,급식메뉴
B000004806,미원초등학교장락분교장,초등학교,1944-04-06,공립,분교,운영,경기도 가평군 설악면 미사리 290-3,경기도 가평군 설악면 미사리로 588,7530000,경기도교육청,7721000,경기도가평교육지원청,2013-11-29,2023-11-15,37.70388933,127.5401557,2024-03-22,C738100,청주대학교 지방교육재정연구원,J10,7721024,Janglak branch school of Miwon Elementary School,초등학교,경기도,경기도가평교육지원청,공립,12462.0,경기도 가평군 설악면 미사리로 588,(설악면/ 미원초등학교장락분교),031-584-7213,http://www.miwon.es.kr/xe/jangrak,남여공학,031-584-7316,,N,,,전기,주간,19440406,19440406,20230615,타지역메뉴정보없음
B000005055,모곡초등학교,초등학교,1934-12-15,공립,본교,운영,강원특별자치도 홍천군 서면 모곡리 184-2,강원특별자치도 홍천군 서면 설밀길 76,7801000,강원특별자치도교육청,7882000,강원특별자치도홍천교육지원청,2013-11-29,2023-11-15,37.6768742,127.6006639,2024-03-22,C738100,청주대학교 지방교육재정연구원,K10,7882036,Mogok Elementary School,초등학교,강원특별자치도,강원특별자치도홍천교육지원청,공립,25100.0,강원도 홍천군 서면 설밀길 76,(서면/ 모곡초등학교),033-434-1006,http://mogok.gwe.es.kr,남여공학,033-434-1511,,N,일반계,,전기,주간,19341121,19341121,20230913,타지역메뉴정보없음
B000007420,울진남부초등학교,초등학교,1968-10-22,공립,본교,운영,경상북도 울진군 울진읍 읍내리 290,경상북도 울진군 울진읍 울진중앙로 52-5,8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2023-11-15,36.98734035,129.3994708,2024-03-22,C738100,청주대학교 지방교육재정연구원,R10,8971033,Uljin Nambu Elementary School,초등학교,경상북도,경상북도울진교육지원청,공립,36326.0,경상북도 울진군 울진읍 울진중앙로 52-5,(울진읍/ 남부초등학교),054-783-2374,http://school.gyo6.net/uljinnambues/,남여공학,054-782-2246,  ,N,일반계,,전기,주간,19681022,19681022,20230615,타지역메뉴정보없음
B000022879,목포부주초등학교,초등학교,2016-03-01,공립,본교,운영,전라남도 목포시 옥암동 1317,전라남도 목포시 남악2로22번길 37,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2013-11-29,2023-11-15,34.80875304,126.4569739,2024-03-22,C738100,청주대학교 지방교육재정연구원,Q10,8501115,Mokpo Buju Elementary School,초등학교,전라남도,전라남도목포교육지원청,공립,58678.0,전라남도 목포시 남악2로22번길 37,(옥암동),061-260-2800,http://mpbj.es.jne.kr/user/indexMain.action?siteId=mpbj_es,남여공학,061-260-2828,,N,,,전기,주간,20160301,20160501,20230615,타지역메뉴정보없음
B000006241,용동초등학교,초등학교,1950-04-20,공립,본교,운영,전북특별자치도 김제시 용지면 장신리 280,전북특별자치도 김제시 용지면 용덕길 36,8321000,전북특별자치도교육청,8382000,전북특별자치도김제교육지원청,2013-11-29,2023-11-15,35.85457978,127.003365,2024-03-22,C738100,청주대학교 지방교육재정연구원,P10,8382072,Yongdong Elementary School,초등학교,전북특별자치도,전북특별자치도김제교육지원청,공립,54333.0,전북특별자치도 김제시 용지면 용덕길 36,용동초등학교,063-542-3024,http://www.jb-yongdong.es.kr,남여공학,063-544-3025,  ,N,해당없음,,전기,주간,19500420,19500420,20230615,타지역메뉴정보없음
B000008359,구룡중학교,중학교,1989-04-18,공립,본교,운영,서울특별시 강남구 개포동 650,서울특별시 강남구 선릉로 103,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.48615258,127.056121,2024-03-22,C738100,청주대학교 지방교육재정연구원,B10,7091423,Guryoung Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,6318.0,서울특별시 강남구 선릉로 103,(개포동/구룡중학교),02-577-3708,http://gury.sen.ms.kr/,남여공학,02-577-3704,  ,N,일반계,,전기,주간,19881224,19890418,20230615,타지역메뉴정보없음
B000026957,삼례중학교,중학교,1948-09-01,공립,본교,운영,전북특별자치도 완주군 삼례읍 삼례리 1691-7,전북특별자치도 완주군 삼례읍 신금로 53-23,8321000,전북특별자치도교육청,8392000,전북특별자치도완주교육지원청,2013-11-29,2023-11-15,35.91106842,127.0787163,2024-03-22,C738100,청주대학교 지방교육재정연구원,P10,8392075,Samrye Middle School,중학교,전북특별자치도,전북특별자치도완주교육지원청,공립,55341.0,전북특별자치도 완주군 삼례읍 신금로 53-23,삼례중학교,063-291-2624,www.samrye.ms.kr,남여공학,063-291-2653,,N,해당없음,,전기,주간,19461015,19511015,20230615,타지역메뉴정보없음
B000011856,안양외국어고등학교,고등학교,1997-03-01,사립,본교,운영,경기도 안양시 만안구 안양동 산41-1,경기도 안양시 만안구 양화로37번길 36,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2023-11-15,37.39571621,126.9090332,2024-03-22,C738100,청주대학교 지방교육재정연구원,J10,7530187,Anyang Foreign Language High School,고등학교,경기도,경기도교육청,사립,14011.0,경기도 안양시 만안구 양화로37번길 36,(안양동/안양외국어고등학교),031-470-4000,http://www.anyang-fl.hs.kr,남여공학,031-444-8011,특목고,N,일반계,외국어계열,전기,주간,19960507,19960507,20230615,타지역메뉴정보없음
B000012013,마포고등학교,고등학교,1953-07-01,사립,본교,운영,서울특별시 강서구 등촌동 82-1,서울특별시 강서구 화곡로 403,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2023-11-15,37.55998867,126.8531334,2024-03-22,C738100,청주대학교 지방교육재정연구원,B10,7010157,Mapo High School,고등학교,서울특별시,서울특별시교육청,사립,7576.0,서울특별시 강서구 화곡로 403,(등촌동/마포고등학교),02-3663-2583,http://www.mapo.hs.kr,남,02-3663-2590,일반고,N,일반계,,후기,주간,19530601,19530601,20230615,타지역메뉴정보없음
B000011602,공주정보고등학교,고등학교,1979-03-03,사립,본교,운영,충청남도 공주시 금흥동 1-1,충청남도 공주시 마근동길 29,8140000,충청남도교육청,8161000,충청남도공주교육지원청,2013-11-29,2023-11-15,36.48557283,127.1574896,2024-03-22,C738100,청주대학교 지방교육재정연구원,N10,8140196,Gongju Information High School,고등학교,충청남도,충청남도교육청,사립,32589.0,충청남도 공주시 마근동길 29,(금흥동/공주정보고등학교),041-856-1674,kjis.cnehs.kr,남여공학,041-856-1675,특성화고,N,전문계,,전기,주간,19781108,19790317,20230615,타지역메뉴정보없음
